story,expected_scenario
As a user, I want to stay logged in so that I don’t have to re-enter my credentials,"Feature: User Login\n  Scenario: Stay logged in option\n    Given the user is logged in\n    When the user selects 'Stay logged in'\n    Then the system keeps the user logged in without asking for credentials again"
As a customer, I want to add items to my shopping cart so that I can purchase them later,"Feature: Shopping Cart\n  Scenario: Add item to cart\n    Given the customer is logged in\n    When the customer adds a product to the shopping cart\n    Then the product appears in the shopping cart list"
As a student, I want to view my grades online so that I can track my academic progress,"Feature: Student Portal\n  Scenario: View grades online\n    Given the student is logged into the portal\n    When the student navigates to the 'Grades' section\n    Then the system displays the student's grades"
As a patient, I want to book appointments online so that I can schedule visits conveniently,"Feature: Appointment Booking\n  Scenario: Book appointment online\n    Given the patient is on the clinic website\n    When the patient selects a doctor and chooses a time slot\n    Then the system confirms the appointment booking"
As a bank customer, I want to transfer money between accounts so that I can manage my finances,"Feature: Bank Account Management\n  Scenario: Transfer money between accounts\n    Given the customer is logged into their bank account\n    When the customer initiates a transfer from one account to another\n    Then the system moves the specified amount and shows a confirmation"
As an employee, I want to submit timesheets online so that payroll is processed efficiently,"Feature: Timesheet Submission\n  Scenario: Submit timesheet\n    Given the employee is logged into the HR portal\n    When the employee fills out and submits the timesheet\n    Then the system records the timesheet for payroll processing"
As a traveler, I want to search for flights so that I can plan my trip,"Feature: Flight Search\n  Scenario: Search for flights\n    Given the traveler is on the airline website\n    When the traveler enters departure and destination cities\n    Then the system displays available flights"
As a teacher, I want to upload assignments so that students can access them online,"Feature: Assignment Upload\n  Scenario: Upload assignment\n    Given the teacher is logged into the portal\n    When the teacher uploads an assignment file\n    Then the system makes the assignment available to students"
As a gamer, I want to save my progress so that I can continue later,"Feature: Game Progress\n  Scenario: Save progress\n    Given the gamer is playing a game\n    When the gamer selects 'Save'\n    Then the system stores the current progress"
As a driver, I want to pay tolls online so that I don’t need cash,"Feature: Toll Payment\n  Scenario: Pay toll online\n    Given the driver is registered on the toll system\n    When the driver enters vehicle details and payment info\n    Then the system confirms toll payment"
As a reader, I want to bookmark articles so that I can read them later,"Feature: Article Bookmark\n  Scenario: Bookmark article\n    Given the reader is logged in\n    When the reader clicks 'Bookmark' on an article\n    Then the system saves the article in the reader’s bookmarks"
As a homeowner, I want to monitor energy usage so that I can reduce costs,"Feature: Energy Monitoring\n  Scenario: View energy usage\n    Given the homeowner is logged into the energy portal\n    When the homeowner navigates to the usage dashboard\n    Then the system displays current energy consumption"
As a passenger, I want to check train schedules so that I can plan my travel,"Feature: Train Schedule\n  Scenario: Check schedule\n    Given the passenger is on the railway website\n    When the passenger enters departure and destination stations\n    Then the system displays train schedules"
As a shopper, I want to apply discount codes so that I can save money,"Feature: Discount Codes\n  Scenario: Apply discount code\n    Given the shopper is checking out\n    When the shopper enters a valid discount code\n    Then the system applies the discount to the total"
As a musician, I want to upload songs so that others can listen,"Feature: Music Upload\n  Scenario: Upload song\n    Given the musician is logged into the platform\n    When the musician uploads a song file\n    Then the system publishes the song for listeners"
As a parent, I want to track my child’s attendance so that I can monitor school progress,"Feature: Attendance Tracking\n  Scenario: View attendance\n    Given the parent is logged into the school portal\n    When the parent navigates to the attendance section\n    Then the system displays the child’s attendance record"
