story_id,story,generated_gherkin,record_status,syntax_pass,syntax_detail,run_mode,timestamp_utc,elapsed_ms,requested_model,error
, I want to stay logged in so that I don’t have to re-enter my credentials,Gherkin cho user story sau: I want to stay logged in so that I don’t have to re-enter my credentials,VALID,False,"parser_error:Parser errors:
(1:1): expected: #EOF, #Language, #TagLine, #FeatureLine, #Comment, #Empty, got 'Gherkin cho user story sau: I want to stay logged in so that I don’t have to re-enter my credentials'",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:21.577163+00:00,1799.41,google/flan-t5-base,
, I want to add items to my shopping cart so that I can purchase them later,Gherkin cho user story sau: I want to add items to my shopping cart so that I can purchase them later,VALID,False,"parser_error:Parser errors:
(1:1): expected: #EOF, #Language, #TagLine, #FeatureLine, #Comment, #Empty, got 'Gherkin cho user story sau: I want to add items to my shopping cart so that I can purchase them later'",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:23.381893+00:00,967.41,google/flan-t5-base,
, I want to view my grades online so that I can track my academic progress,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:38:24.356222+00:00,6684.98,google/flan-t5-base,empty_response
, I want to book appointments online so that I can schedule visits conveniently,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:38:31.044898+00:00,6680.96,google/flan-t5-base,empty_response
, I want to transfer money between accounts so that I can manage my finances,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:37.731607+00:00,1254.35,google/flan-t5-base,
, I want to submit timesheets online so that payroll is processed efficiently,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:38.990521+00:00,1279.73,google/flan-t5-base,
, I want to search for flights so that I can plan my trip,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:40.275950+00:00,1238.41,google/flan-t5-base,
, I want to upload assignments so that students can access them online,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:38:41.520083+00:00,6692.77,google/flan-t5-base,empty_response
, I want to save my progress so that I can continue later,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:48.216733+00:00,1352.78,google/flan-t5-base,
, I want to pay tolls online so that I don’t need cash,,INVALID,False,empty_output,FLAN_T5_LOCAL_RUN,2026-07-19T06:38:49.574240+00:00,6784.7,google/flan-t5-base,empty_response
, I want to bookmark articles so that I can read them later,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:56.364880+00:00,1306.34,google/flan-t5-base,
, I want to monitor energy usage so that I can reduce costs,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:57.675226+00:00,1352.63,google/flan-t5-base,
, I want to check train schedules so that I can plan my travel,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:38:59.031841+00:00,1225.02,google/flan-t5-base,
, I want to apply discount codes so that I can save money,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:00.262820+00:00,1247.36,google/flan-t5-base,
, I want to upload songs so that others can listen,Feature: Shopping Cart Scenario: Add item to cart Given the customer is logged in When the customer adds a product Then the product appears in the cart,VALID,False,"contract_error:feature=1,scenario=0,missing=Given ,When ,Then ",FLAN_T5_LOCAL_RUN,2026-07-19T06:39:01.516049+00:00,1280.56,google/flan-t5-base,
